date,DJI
9/23/2013,15401.37988
9/24/2013,15334.58984
9/25/2013,15273.25977
9/26/2013,15328.29981
9/27/2013,15258.24023
9/30/2013,15129.66992
10/1/2013,15191.7002
10/2/2013,15133.13965
10/3/2013,14996.48047
10/4/2013,15072.58008
10/7/2013,14936.24023
10/8/2013,14776.53027
10/9/2013,14802.98047
10/10/2013,15126.07031
10/11/2013,15237.11035
10/14/2013,15301.25977
10/15/2013,15168.00977
10/16/2013,15373.83008
10/17/2013,15371.65039
10/18/2013,15399.65039
10/21/2013,15392.2002
10/22/2013,15467.66016
10/23/2013,15413.33008
10/24/2013,15509.20996
10/25/2013,15570.28027
10/28/2013,15568.92969
10/29/2013,15680.34961
10/30/2013,15618.75977
10/31/2013,15545.75
11/1/2013,15615.54981
11/4/2013,15639.12012
11/5/2013,15618.21973
11/6/2013,15746.87988
11/7/2013,15593.98047
11/8/2013,15761.78027
11/11/2013,15783.09961
11/12/2013,15750.66992
11/13/2013,15821.62988
11/14/2013,15876.21973
11/15/2013,15961.7002
11/18/2013,15976.01953
11/19/2013,15967.03027
11/20/2013,15900.82031
11/21/2013,16009.99023
11/22/2013,16064.76953
11/25/2013,16072.54004
11/26/2013,16072.79981
11/27/2013,16097.33008
11/29/2013,16086.41016
12/2/2013,16008.76953
12/3/2013,15914.62012
12/4/2013,15889.76953
12/5/2013,15821.50977
12/6/2013,16020.2002
12/9/2013,16025.53027
12/10/2013,15973.12988
12/11/2013,15843.53027
12/12/2013,15739.42969
12/13/2013,15755.36035
12/16/2013,15884.57031
12/17/2013,15875.25977
12/18/2013,16167.96973
12/19/2013,16179.08008
12/20/2013,16221.13965
12/23/2013,16294.61035
12/24/2013,16357.54981
12/26/2013,16479.88086
12/27/2013,16478.41016
12/30/2013,16504.28906
12/31/2013,16576.66016
1/2/2014,16441.34961
1/3/2014,16469.99023
1/6/2014,16425.09961
1/7/2014,16530.93945
1/8/2014,16462.74023
1/9/2014,16444.75977
1/10/2014,16437.05078
1/13/2014,16257.94043
1/14/2014,16373.86035
1/15/2014,16481.93945
1/16/2014,16417.00977
1/17/2014,16458.56055
1/21/2014,16414.43945
1/22/2014,16373.33984
1/23/2014,16197.34961
1/24/2014,15879.11035
1/27/2014,15837.87988
1/28/2014,15928.55957
1/29/2014,15738.79004
1/30/2014,15848.61035
1/31/2014,15698.84961
2/3/2014,15372.79981
2/4/2014,15445.24023
2/5/2014,15440.23047
2/6/2014,15628.53027
2/7/2014,15794.08008
2/10/2014,15801.79004
2/11/2014,15994.76953
2/12/2014,15963.94043
2/13/2014,16027.58984
2/14/2014,16154.38965
2/18/2014,16130.40039
2/19/2014,16040.55957
2/20/2014,16133.23047
2/21/2014,16103.29981
2/24/2014,16207.13965
2/25/2014,16179.66016
2/26/2014,16198.41016
2/27/2014,16272.65039
2/28/2014,16321.70996
3/3/2014,16168.03027
3/4/2014,16395.88086
3/5/2014,16360.17969
3/6/2014,16421.89063
3/7/2014,16452.7207
3/10/2014,16418.67969
3/11/2014,16351.25
3/12/2014,16340.08008
3/13/2014,16108.88965
3/14/2014,16065.66992
3/17/2014,16247.21973
3/18/2014,16336.19043
3/19/2014,16222.16992
3/20/2014,16331.04981
3/21/2014,16302.76953
3/24/2014,16276.69043
3/25/2014,16367.87988
3/26/2014,16268.99023
3/27/2014,16264.23047
3/28/2014,16323.05957
3/31/2014,16457.66016
4/1/2014,16532.60938
4/2/2014,16573
4/3/2014,16572.55078
4/4/2014,16412.71094
4/7/2014,16245.87012
4/8/2014,16256.13965
4/9/2014,16437.17969
4/10/2014,16170.21973
4/11/2014,16026.75
4/14/2014,16173.24023
4/15/2014,16262.55957
4/16/2014,16424.84961
4/17/2014,16408.53906
4/21/2014,16449.25
4/22/2014,16514.36914
4/23/2014,16501.65039
4/24/2014,16501.65039
4/25/2014,16361.45996
4/28/2014,16448.74023
4/29/2014,16535.36914
4/30/2014,16580.83984
5/1/2014,16558.86914
5/2/2014,16512.89063
5/5/2014,16530.55078
5/6/2014,16401.01953
5/7/2014,16518.53906
5/8/2014,16550.9707
5/9/2014,16583.33984
5/12/2014,16695.4707
5/13/2014,16715.43945
5/14/2014,16613.9707
5/15/2014,16446.81055
5/16/2014,16491.31055
5/19/2014,16511.85938
5/20/2014,16374.30957
5/21/2014,16533.06055
5/22/2014,16543.08008
5/23/2014,16606.26953
5/27/2014,16675.5
5/28/2014,16633.17969
5/29/2014,16698.74023
5/30/2014,16717.16992
6/2/2014,16743.63086
6/3/2014,16722.33984
6/4/2014,16737.5293
6/5/2014,16836.10938
6/6/2014,16924.2793
6/9/2014,16943.09961
6/10/2014,16945.91992
6/11/2014,16843.88086
6/12/2014,16734.18945
6/13/2014,16775.74023
6/16/2014,16781.00977
6/17/2014,16808.49023
6/18/2014,16906.61914
6/19/2014,16921.46094
6/20/2014,16947.08008
6/23/2014,16937.25977
6/24/2014,16818.13086
6/25/2014,16867.50977
6/26/2014,16846.13086
6/27/2014,16851.83984
6/30/2014,16826.59961
7/1/2014,16956.07031
7/2/2014,16976.24023
7/3/2014,17068.25977
7/7/2014,17024.21094
7/8/2014,16906.61914
7/9/2014,16985.60938
7/10/2014,16915.07031
7/11/2014,16943.81055
7/14/2014,17055.41992
7/15/2014,17060.67969
7/16/2014,17138.19922
7/17/2014,16976.81055
7/18/2014,17100.17969
7/21/2014,17051.73047
7/22/2014,17113.53906
7/23/2014,17086.63086
7/24/2014,17083.80078
7/25/2014,16960.57031
7/28/2014,16982.58984
7/29/2014,16912.10938
7/30/2014,16880.35938
7/31/2014,16563.30078
8/1/2014,16493.36914
8/4/2014,16569.2793
8/5/2014,16429.4707
8/6/2014,16443.33984
8/7/2014,16368.26953
8/8/2014,16553.92969
8/11/2014,16569.98047
8/12/2014,16560.53906
8/13/2014,16651.80078
8/14/2014,16713.58008
8/15/2014,16662.91016
8/18/2014,16838.74023
8/19/2014,16919.58984
8/20/2014,16979.13086
8/21/2014,17039.49023
8/22/2014,17001.2207
8/25/2014,17076.86914
8/26/2014,17106.69922
8/27/2014,17122.00977
8/28/2014,17079.57031
8/29/2014,17098.44922
9/2/2014,17067.56055
9/3/2014,17078.2793
9/4/2014,17069.58008
9/5/2014,17137.35938
9/8/2014,17111.41992
9/9/2014,17013.86914
9/10/2014,17068.71094
9/11/2014,17049
9/12/2014,16987.50977
9/15/2014,17031.14063
9/16/2014,17131.9707
9/17/2014,17156.84961
9/18/2014,17265.99023
9/19/2014,17279.74023
9/22/2014,17172.67969
9/23/2014,17055.86914
9/24/2014,17210.06055
9/25/2014,16945.80078
9/26/2014,17113.15039
9/29/2014,17071.2207
9/30/2014,17042.90039
10/1/2014,16804.71094
10/2/2014,16801.05078
10/3/2014,17009.68945
10/6/2014,16991.91016
10/7/2014,16719.39063
10/8/2014,16994.2207
10/9/2014,16659.25
10/10/2014,16544.09961
10/13/2014,16321.07031
10/14/2014,16315.19043
10/15/2014,16141.74023
10/16/2014,16117.24023
10/17/2014,16380.41016
10/20/2014,16399.66992
10/21/2014,16614.81055
10/22/2014,16461.32031
10/23/2014,16677.90039
10/24/2014,16805.41016
10/27/2014,16817.93945
10/28/2014,17005.75
10/29/2014,16974.31055
10/30/2014,17195.41992
10/31/2014,17390.51953
11/3/2014,17366.24023
11/4/2014,17383.83984
11/5/2014,17484.5293
11/6/2014,17554.4707
11/7/2014,17573.92969
11/10/2014,17613.74023
11/11/2014,17614.90039
11/12/2014,17612.19922
11/13/2014,17652.78906
11/14/2014,17634.74023
11/17/2014,17647.75
11/18/2014,17687.82031
11/19/2014,17685.73047
11/20/2014,17719
11/21/2014,17810.06055
11/24/2014,17817.90039
11/25/2014,17814.93945
11/26/2014,17827.75
11/28/2014,17828.24023
12/1/2014,17776.80078
12/2/2014,17879.55078
12/3/2014,17912.61914
12/4/2014,17900.09961
12/5/2014,17958.78906
12/8/2014,17852.48047
12/9/2014,17801.19922
12/10/2014,17533.15039
12/11/2014,17596.33984
12/12/2014,17280.83008
12/15/2014,17180.83984
12/16/2014,17068.86914
12/17/2014,17356.86914
12/18/2014,17778.15039
12/19/2014,17804.80078
12/22/2014,17959.43945
12/23/2014,18024.16992
12/24/2014,18030.21094
12/26/2014,18053.71094
12/29/2014,18038.23047
12/30/2014,17983.07031
12/31/2014,17823.07031
1/2/2015,17832.99023
1/5/2015,17501.65039
1/6/2015,17371.64063
1/7/2015,17584.51953
1/8/2015,17907.86914
1/9/2015,17737.36914
1/12/2015,17640.83984
1/13/2015,17613.67969
1/14/2015,17427.08984
1/15/2015,17320.71094
1/16/2015,17511.57031
1/20/2015,17515.23047
1/21/2015,17554.2793
1/22/2015,17813.98047
1/23/2015,17672.59961
1/26/2015,17678.69922
1/27/2015,17387.21094
1/28/2015,17191.36914
1/29/2015,17416.84961
1/30/2015,17164.94922
2/2/2015,17361.03906
2/3/2015,17666.40039
2/4/2015,17673.01953
2/5/2015,17884.88086
2/6/2015,17824.28906
2/9/2015,17729.21094
2/10/2015,17868.75977
2/11/2015,17862.14063
2/12/2015,17972.38086
2/13/2015,18019.34961
2/17/2015,18047.58008
2/18/2015,18029.84961
2/19/2015,17985.76953
2/20/2015,18140.43945
2/23/2015,18116.83984
2/24/2015,18209.18945
2/25/2015,18224.57031
2/26/2015,18214.41992
2/27/2015,18132.69922
3/2/2015,18288.63086
3/3/2015,18203.36914
3/4/2015,18096.90039
3/5/2015,18135.7207
3/6/2015,17856.7793
3/9/2015,17995.7207
3/10/2015,17662.93945
3/11/2015,17635.39063
3/12/2015,17895.2207
3/13/2015,17749.31055
3/16/2015,17977.41992
3/17/2015,17849.08008
3/18/2015,18076.18945
